model,depth,kv,decision_correct,n,decision_acc,retrieval,decoy_rate,tok_s,peak_vram_mib,run
llama-3.1-8b,4096,f16,5,5,1.0,1.0,0.0,123.5,5915,depth-curve
llama-3.1-8b,4096,turbo4,5,5,1.0,1.0,0.0,108.0,5353,depth-curve
llama-3.1-8b,4096,turbo3,4,5,0.8,0.8,0.2,115.4,5299,depth-curve
llama-3.1-8b,4096,turbo2,4,5,0.8,0.8,0.2,115.0,5277,depth-curve
llama-3.1-8b,8192,f16,5,5,1.0,1.0,0.0,114.7,6421,depth-curve
llama-3.1-8b,8192,turbo4,5,5,1.0,1.0,0.0,99.8,5491,depth-curve
llama-3.1-8b,8192,turbo3,5,5,1.0,1.0,0.0,110.8,5395,depth-curve
llama-3.1-8b,8192,turbo2,5,5,1.0,1.0,0.0,115.1,5355,depth-curve
llama-3.1-8b,16384,f16,5,5,1.0,1.0,0.0,102.6,7445,depth-curve
llama-3.1-8b,16384,turbo4,5,5,1.0,1.0,0.0,85.3,5755,depth-curve
llama-3.1-8b,16384,turbo3,5,5,1.0,1.0,0.0,96.1,5593,depth-curve
llama-3.1-8b,16384,turbo2,5,5,1.0,1.0,0.0,110.9,5513,depth-curve
llama-3.1-8b,32768,f16,5,5,1.0,1.0,0.0,88.4,9493,depth-curve
llama-3.1-8b,32768,turbo4,5,5,1.0,1.0,0.0,68.8,6299,depth-curve
llama-3.1-8b,32768,turbo3,5,5,1.0,1.0,0.0,81.1,5993,depth-curve
llama-3.1-8b,32768,turbo2,2,5,0.4,0.4,0.2,91.5,5843,depth-curve
llama-3.1-8b,32768,f16,16,16,1.0,1.0,0.0,84.7,9499,32k-confirm
llama-3.1-8b,32768,turbo3,16,16,1.0,1.0,0.0,80.7,5999,32k-confirm
llama-3.1-8b,32768,turbo2,7,16,0.438,0.438,0.0,89.7,5843,32k-confirm
mistral-7b-v0.3,32768,f16,16,16,1.0,1.0,0.0,91.3,8819,cross-arch
mistral-7b-v0.3,32768,turbo3,15,16,0.938,0.938,0.062,85.3,5577,cross-arch
mistral-7b-v0.3,32768,turbo2,6,16,0.375,0.375,0.0,103.0,5423,cross-arch
