srcfile,tag,pseed,depth,kv,decision,decoy_rate,mean_digit_err,mean_lev,malformed,adapt,tok_s,vram
f0-deep.log,stepC-deepfix,42,49152,turbo3,0.875,0.0,0.5,0.5,0.125,,68.5,6439
f0-deep.log,stepC-deepfix,42,49152,turbo2,0.25,0.0,1.75,4.5,0.375,,83.1,6045
f0-deep.log,stepC-deepfix,42,49152,f16,1.0,0.0,0.0,0.0,0.0,,73.3,11569
f0-deep.log,stepC-deepfix,42,65536,turbo3,1.0,0.0,0.0,0.0,0.0,,59.4,6925
f0-deep.log,stepC-deepfix,42,65536,turbo2,0.25,0.25,2.5,6.375,0.625,,73.9,6397
f0-deep.log,stepC-deepfix,42,65536,f16,1.0,0.0,0.0,0.0,0.0,,60.6,13611
f0-stepB.log,smoke,42,4096,f16,1.0,0.0,0.0,0.0,0.0,,118.2,5931
f0-stepB.log,smoke,42,4096,turbo2,0.5,0.0,0.0,0.5,0.0,,111.5,5293
f0-stepB.log,stepB-adaptiveAUTO,42,32768,f16,1.0,0.0,0.0,0.0,0.0,,84.0,9521
f0-stepB.log,stepB-adaptiveAUTO,42,32768,turbo3,1.0,0.0,0.0,0.0,0.0,,78.9,6021
f0-stepB.log,stepB-adaptiveAUTO,42,32768,turbo2,0.438,0.0,1.688,4.562,0.375,,93.1,5865
f0-stepB.log,stepB-adaptiveOFF,42,32768,turbo2,0.25,0.062,2.438,5.562,0.5,,91.4,5743
f0-stepC.log,stepC-sweep,42,8192,f16,1.0,0.0,0.0,0.0,0.0,,115.8,6443
f0-stepC.log,stepC-sweep,42,8192,turbo2,0.625,0.125,1.5,3.5,0.375,,113.7,5335
f0-stepC.log,stepC-sweep,42,16384,f16,1.0,0.0,0.0,0.0,0.0,,106.0,7467
f0-stepC.log,stepC-sweep,42,16384,turbo2,0.375,0.0,2.0,5.625,0.5,,108.4,5471
f0-stepC.log,stepC-sweep,42,24576,f16,1.0,0.0,0.0,0.0,0.0,,93.9,8497
f0-stepC.log,stepC-sweep,42,24576,turbo2,0.375,0.125,2.5,5.875,0.625,,95.3,5613
f0-stepC.log,stepC-sweep,42,32768,f16,1.0,0.0,0.0,0.0,0.0,,83.0,9515
f0-stepC.log,stepC-sweep,42,32768,turbo2,0.375,0.0,2.5,5.5,0.625,,91.6,5743
f0-stepC.log,stepC-seed1,1,32768,f16,1.0,0.0,0.0,0.0,0.0,,84.3,9521
f0-stepC.log,stepC-seed1,1,32768,turbo2,0.625,0.0,1.5,3.625,0.375,,97.1,5749
f0-stepC.log,stepC-seed2,2,32768,f16,1.0,0.0,0.0,0.0,0.0,,87.3,9521
f0-stepC.log,stepC-seed2,2,32768,turbo2,0.5,0.0,2.0,5.0,0.5,,96.3,5749
f0-stepC.log,stepC-seed3,3,32768,f16,1.0,0.0,0.0,0.0,0.0,,87.5,9515
f0-stepC.log,stepC-seed3,3,32768,turbo2,0.375,0.0,2.125,5.0,0.5,,90.8,5749
f0-stepC.log,stepC-deep,42,49152,turbo3,0.875,0.0,0.5,0.5,0.125,,69.3,6445
f0-stepC.log,stepC-deep,42,49152,turbo2,0.25,0.0,1.75,4.5,0.375,,83.6,6039
f0-stepC.log,stepC-deep,42,49152,f16,1.0,0.0,0.0,0.0,0.0,,71.8,11569
f0-stepD.log,D-base,42,16384,turbo2,0.5,0.25,1.875,3.625,0.375,,101.5,5477
f0-stepD.log,D-base,42,32768,turbo2,0.5,0.125,1.5,4.125,0.375,,91.4,5749
f0-stepD.log,D-iq512s05,42,16384,turbo2,0.25,0.25,2.375,6.25,0.5,,113.1,5477
f0-stepD.log,D-iq512s05,42,32768,turbo2,0.375,0.125,2.0,4.875,0.5,,93.4,5749
f0-stepD.log,D-iq2048s05,42,16384,turbo2,0.5,0.0,2.0,4.375,0.5,,103.5,5471
f0-stepD.log,D-iq2048s05,42,32768,turbo2,0.25,0.125,3.0,6.5,0.75,,95.5,5749
f0-stepD.log,D-iq2048s10,42,16384,turbo2,0.125,0.25,2.5,6.625,0.5,,111.4,5477
f0-stepD.log,D-iq2048s10,42,32768,turbo2,0.125,0.125,3.0,7.625,0.75,,94.8,5743
